EmployeeID,Action,ResourceID,Resource Access Date,Emp End Date
10101,login,AuthServer,2016-06-16 11:36:00,2016-05-11 00:00:00
10101,login,AuthServer,2016-06-16 11:36:00,2016-05-11 00:00:00
10101,login,AuthServer,2016-06-16 11:36:00,2016-05-11 00:00:00
10101,login,AuthServer,2016-06-16 11:36:00,2016-05-11 00:00:00
10101,login,AuthServer,2016-06-16 11:36:00,2016-05-11 00:00:00
10101,login,AuthServer,2016-06-16 11:36:00,2016-05-11 00:00:00
10101,login,AuthServer,2016-06-16 11:36:00,2016-05-11 00:00:00
10160,login,AuthServer,2016-05-07 09:30:00,2016-02-27 00:00:00
10160,login,AuthServer,2016-05-07 09:30:00,2016-02-27 00:00:00
10160,login,AuthServer,2016-05-07 09:30:00,2016-02-27 00:00:00
10173,login,AuthServer,2016-05-27 12:28:00,2016-03-20 00:00:00
10173,login,AuthServer,2016-05-27 12:28:00,2016-03-20 00:00:00
10173,login,AuthServer,2016-05-27 12:28:00,2016-03-20 00:00:00
10173,login,AuthServer,2016-05-27 12:28:00,2016-03-20 00:00:00
10173,login,AuthServer,2016-05-27 12:28:00,2016-03-20 00:00:00
10173,login,AuthServer,2016-05-27 12:28:00,2016-03-20 00:00:00
